"Company ID","Name","Company Domain Name","Website URL","Phone Number","Vertical","Size ","New Tier","Source","LinkedIn Company Page","Lead Status","Lifecycle Stage","Subscription status","Company owner"
"3907013684","Tam Tam Percusion","tamtampercusion.com","tamtampercusion.com"," +34 954 22 59 97","","","","","","","","Lead",""
"3906925941","Gobik","gobik.com","gobik.com"," +34968075006","Sport","","","","https://www.linkedin.com/company/gobik","On prospection","Lead","Lead","Guillermo Oller"
"3906839034","Moda Clique Barcelona","modaclique.es","modaclique.es"," +34 932 69 49 16","Sport","","","","https://www.linkedin.com/company/9217950","On prospection","Lead","Lead","Guillermo Oller"
"3906744569","CIDAUT","cidaut.com","cidaut.com","","Sport","","","","https://www.linkedin.com/company/111633","New","Lead","Lead","Guillermo Oller"
"3906756123","BM SPORTECH","bmsportech.es","bmsportech.es","","Sport","","","","https://www.linkedin.com/company/bm-sportech/","On prospection","Lead","Lead","Guillermo Oller"
"3906744570","TwoNav","twonav.com","twonav.com","937938054","Sport","","","","https://www.linkedin.com/company/twonav/","On prospection","Lead","Lead","Guillermo Oller"
"3906915572","SKI MARKET","skimarket.es","skimarket.es"," +34 915 766 884","Sport","","","","https://www.linkedin.com/company/594877","On prospection","Lead","Lead","Guillermo Oller"
"3906925942","TRADEINN","tradeinn.com","tradeinn.com","34 972 75 50 62","Sport","","","","https://www.linkedin.com/company/2346965","On prospection","Lead","Lead","Guillermo Oller"
"3906791709","Basket Revolution","basketrevolution.es","basketrevolution.es"," +34 914 156 366","Sport","","","","https://www.linkedin.com/company/basket-revolution-sa/","On prospection","Lead","Lead","Guillermo Oller"
"3906744568","LASTON RED S.L.","lastonred.com","lastonred.com"," +34 915150323","Sport","","","","https://www.linkedin.com/company/profitness-century-s-l/","On prospection","Lead","Lead","Guillermo Oller"
"3906926995","Best Kiteboarding","bestkiteboarding.com","bestkiteboarding.com"," +1 561-243-3737","Sport","","","","https://www.linkedin.com/company/1310551","On prospection","Lead","Lead","Guillermo Oller"
"3906924566","progym.es","progym.es","progym.es","","Sport","","","","https://www.linkedin.com/company/10241699","On prospection","Lead","Lead","Guillermo Oller"
"3906912732","Orca","orca.com","orca.com","6495230820","Sport","","","","https://www.linkedin.com/company/3829863","On prospection","Lead","Lead","Guillermo Oller"
"3907013803","Pinol Vepahi SL","pinol.es","pinol.es"," +34 918542453","Sport","","","","https://www.linkedin.com/company/10328817","On prospection","Lead","Lead","Guillermo Oller"
"3906955801","Pierce AB","pierce-ecom.com","pierce-ecom.com","46 86 05 38 80","Sport","","","","https://www.linkedin.com/company/3247947","On prospection","Lead","Lead","Guillermo Oller"
"3906938233","New Balance","newbalance.com","newbalance.com"," +1 617-783-4000","Sport","","","","https://www.linkedin.com/company/8274","On prospection","Lead","Lead","Guillermo Oller"
"3906915573","Market Integra","fytter.com","fytter.com","","Sport","","","","https://www.linkedin.com/company/9434855","On prospection","Lead","Lead","Guillermo Oller"
"3906973821","N1 GOALKEEPER GLOVES","n1goalkeeper.com","n1goalkeeper.com"," +34 634 23 29 90","Sport","","","","https://www.linkedin.com/company/15213950","On prospection","Lead","Lead","Guillermo Oller"
"3907013802","MAD-SPORT","mad-sport.com","mad-sport.com"," +34 976126344","Sport","","","","https://www.linkedin.com/company/2419524","On prospection","Lead","Lead","Guillermo Oller"
"3906912733","Luanvi","luanvi.es","luanvi.es"," +34 963056001","Sport","","","","https://www.linkedin.com/company/10014756","On prospection","Lead","Lead","Guillermo Oller"
"3906917646","MEGA SPORT S.A","megasport.es","megasport.es"," +34 934751420","Sport","","","","https://www.linkedin.com/company/10942424","On prospection","Lead","Lead","Guillermo Oller"
"3906926994","IberianSportech","iberiansportech.com","iberiansportech.com","","Sport","","","","https://www.linkedin.com/company/35524692","New","Lead","Lead","Guillermo Oller"
"3907026279","Intersport España","intersport.es","intersport.es"," +34 935918949","Sport","","","","https://www.linkedin.com/company/2313804","Nurturing","Lead","Lead","Guillermo Oller"
"3906635688","Correos","correos.com","correos.com"," +34 902 19 71 97","","","","","https://www.linkedin.com/company/correos","","","Lead","Ezequiel Lacabanne"
"3905987697","robincolletion.com","robincolletion.com","robincolletion.com","","","","","","","","","Lead","Ezequiel Lacabanne"
"3898692630","upcotm.com","upcotm.com","upcotm.com","","","","Tier 3","","","On prospection","","Lead","Guillermo Oller"
"3895867445","Manawa Consulting","manawac.co.uk","manawac.co.uk"," +34 672 07 92 61","","","","","https://www.linkedin.com/company/manawa-consulting","","","","Ezequiel Lacabanne"
"3891079354","TIPSA","tip-sa.com","tip-sa.com"," +34 902 10 10 47","","","","","https://www.linkedin.com/company/tipsa","","","Lead","Ezequiel Lacabanne"
"3888637574","greenduu.com","greenduu.com","greenduu.com","","","","Tier 3","","","Qualified","","Lead","Guillermo Oller"
"3887506820","Birchbox Inc.","birchbox.com","birchbox.com"," +1 877-487-7272","","","","","https://www.linkedin.com/company/birchbox","","","Lead","Ramon Cuñat"
"3885244634","sannasbcn.com","sannasbcn.com","sannasbcn.com","","","","Tier 3","","","Discarded","","Lead","Guillermo Oller"
"3884985857","vwgproservice.es","vwgproservice.es","vwgproservice.es","","","","","","","","","Lead",""
"3872696682","cashthecloset.com","cashthecloset.com","cashthecloset.com","610857046","","","","","","Qualified","Opportunity","","Guillermo Oller"
"3871433100","Mercaimpex SL","mercaimpex.com","mercaimpex.com"," +34 917866230","","","","","https://www.linkedin.com/company/mercaimpex-sl","Discarded","","Lead","Guillermo Oller"
"3867606283","flormoments.com","flormoments.com","flormoments.com","","","","Tier 3","","","Qualified","Opportunity","Lead","Guillermo Oller"
